epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8117,1.12854,3.37032,1.36537,0.0502,0.069,0.2735,0.1162,0.08845,0.82668,1.81743,1.06146,0.01398,0.000251673,0.000251673,0.000251673
2,37.6995,0.79749,1.08765,0.97341,0.01282,0.5327,0.29707,0.25533,0.1901,0.6914,0.8617,0.93987,0.01187,0.000500821,0.000500821,0.000500821
3,51.3389,0.73216,0.8371,0.91259,0.01197,0.42237,0.50066,0.42074,0.32276,0.63393,0.70249,0.89693,0.01019,0.00074272,0.00074272,0.00074272
4,65.0832,0.68685,0.71864,0.89154,0.01028,0.51525,0.63014,0.50101,0.3908,0.69656,0.76252,0.90683,0.0093,0.000736372,0.000736372,0.000736372
5,78.7554,0.66383,0.65431,0.88549,0.00914,0.58142,0.59386,0.60802,0.48079,0.60216,0.60017,0.88486,0.00764,0.000725497,0.000725497,0.000725497
6,92.3759,0.6374,0.61836,0.87613,0.00807,0.74027,0.61342,0.66348,0.52893,0.60889,0.56318,0.88536,0.00617,0.000714621,0.000714621,0.000714621
7,106.017,0.62582,0.59639,0.86952,0.00802,0.78028,0.64112,0.71494,0.57229,0.58378,0.52205,0.88014,0.00593,0.000703745,0.000703745,0.000703745
8,119.81,0.62805,0.58281,0.8656,0.00796,0.74225,0.65172,0.71503,0.57855,0.56306,0.51974,0.86739,0.00638,0.000692869,0.000692869,0.000692869
9,133.512,0.61705,0.57538,0.86134,0.00782,0.79533,0.68404,0.74285,0.59009,0.62551,0.53044,0.88577,0.0058,0.000681993,0.000681993,0.000681993
10,147.183,0.61989,0.54795,0.86205,0.00747,0.8005,0.68462,0.75983,0.61917,0.54599,0.48616,0.86484,0.00565,0.000671117,0.000671117,0.000671117
11,160.83,0.60031,0.53673,0.86078,0.00721,0.8219,0.68618,0.77615,0.63841,0.53882,0.48545,0.85965,0.00571,0.000660241,0.000660241,0.000660241
12,174.476,0.59356,0.51986,0.85965,0.00692,0.79545,0.72456,0.77398,0.634,0.53816,0.47873,0.85887,0.0053,0.000649366,0.000649366,0.000649366
13,188.119,0.57622,0.50542,0.85392,0.0066,0.78576,0.69104,0.75441,0.61463,0.57074,0.49705,0.866,0.00575,0.00063849,0.00063849,0.00063849
14,201.908,0.57826,0.50463,0.85179,0.00634,0.7434,0.74265,0.78448,0.64401,0.5328,0.47302,0.8576,0.00515,0.000627614,0.000627614,0.000627614
15,215.634,0.57261,0.49569,0.85107,0.00661,0.80758,0.71993,0.78099,0.6427,0.52945,0.45907,0.85917,0.00494,0.000616738,0.000616738,0.000616738
16,229.34,0.56686,0.48768,0.85384,0.00616,0.83074,0.7744,0.83018,0.68479,0.539,0.46274,0.85758,0.00503,0.000605862,0.000605862,0.000605862
17,243.105,0.56571,0.48346,0.84811,0.00657,0.82623,0.75907,0.82434,0.67738,0.5248,0.4562,0.8555,0.00528,0.000594986,0.000594986,0.000594986
18,256.86,0.56149,0.47075,0.84691,0.00651,0.77213,0.77008,0.83242,0.68417,0.51845,0.44704,0.85202,0.00532,0.00058411,0.00058411,0.00058411
19,270.681,0.56264,0.47196,0.84407,0.00598,0.77482,0.73828,0.80688,0.65895,0.52341,0.45332,0.85439,0.00472,0.000573235,0.000573235,0.000573235
20,284.43,0.55673,0.46166,0.84567,0.00602,0.83578,0.76351,0.83082,0.69038,0.50443,0.43352,0.84862,0.00483,0.000562359,0.000562359,0.000562359
