epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0843,1.27929,3.10798,1.25291,0.06108,0.60372,0.10448,0.11503,0.08648,0.82727,1.33293,1.00917,0.01673,0.000252449,0.000252449,0.000252449
2,31.1401,0.84942,1.09809,0.92385,0.01475,0.47451,0.29508,0.29083,0.23261,0.72006,0.85007,0.90529,0.01321,0.000498709,0.000498709,0.000498709
3,43.9164,0.77474,0.87521,0.88372,0.0124,0.5366,0.45317,0.37915,0.29921,0.65338,0.71676,0.86894,0.01258,0.000734818,0.000734818,0.000734818
4,56.5983,0.73584,0.77991,0.86735,0.01156,0.54966,0.50233,0.44435,0.33555,0.7669,0.70672,0.88518,0.01159,0.000723321,0.000723321,0.000723321
5,69.3569,0.7054,0.70463,0.85945,0.01055,0.6115,0.50082,0.54406,0.43063,0.66206,0.64816,0.86559,0.00999,0.000708095,0.000708095,0.000708095
6,82.0732,0.69881,0.67844,0.8545,0.01021,0.48622,0.57269,0.5281,0.41594,0.64211,0.66928,0.8621,0.0093,0.000692869,0.000692869,0.000692869
7,94.7601,0.68064,0.64602,0.84577,0.00954,0.65713,0.63698,0.64245,0.52235,0.57125,0.5228,0.84635,0.00815,0.000677643,0.000677643,0.000677643
8,107.578,0.6761,0.63217,0.84682,0.00894,0.61113,0.61173,0.62209,0.49311,0.6337,0.57202,0.85827,0.00777,0.000662417,0.000662417,0.000662417
9,120.236,0.65545,0.59863,0.84292,0.00831,0.69671,0.63103,0.68603,0.55292,0.58882,0.51771,0.84729,0.00743,0.00064719,0.00064719,0.00064719
10,132.893,0.63924,0.58036,0.84503,0.00774,0.7871,0.65204,0.72652,0.58497,0.59112,0.49412,0.8501,0.00649,0.000631964,0.000631964,0.000631964
11,145.713,0.63593,0.57316,0.83799,0.00754,0.65846,0.72892,0.7205,0.57607,0.5958,0.53393,0.848,0.00658,0.000616738,0.000616738,0.000616738
12,158.426,0.64142,0.56505,0.83859,0.00792,0.70572,0.7271,0.73597,0.60229,0.54843,0.49898,0.83483,0.00705,0.000601512,0.000601512,0.000601512
13,171.136,0.6207,0.55114,0.83694,0.00766,0.7734,0.69362,0.74496,0.6056,0.56468,0.47251,0.84215,0.00597,0.000586286,0.000586286,0.000586286
14,183.812,0.62507,0.54603,0.83503,0.00735,0.78464,0.66274,0.76338,0.6277,0.54758,0.46822,0.83654,0.00652,0.000571059,0.000571059,0.000571059
15,196.399,0.61238,0.53247,0.83313,0.00734,0.72567,0.67797,0.74769,0.61184,0.55508,0.47905,0.83726,0.00632,0.000555833,0.000555833,0.000555833
16,208.978,0.60829,0.52888,0.83216,0.00704,0.74042,0.75919,0.78653,0.63527,0.54576,0.47515,0.83854,0.00556,0.000540607,0.000540607,0.000540607
17,221.652,0.60503,0.52737,0.83016,0.00719,0.71446,0.74737,0.77462,0.62755,0.55574,0.48136,0.83694,0.00609,0.000525381,0.000525381,0.000525381
18,234.384,0.60113,0.51297,0.82628,0.00665,0.73368,0.76586,0.76653,0.62563,0.57889,0.48,0.84134,0.00579,0.000510155,0.000510155,0.000510155
19,247.023,0.59758,0.50636,0.83004,0.00696,0.75006,0.76342,0.80277,0.65426,0.53715,0.45035,0.83406,0.00576,0.000494928,0.000494928,0.000494928
20,259.805,0.59941,0.50394,0.8276,0.00714,0.8369,0.74881,0.82862,0.67269,0.53999,0.43996,0.83297,0.00577,0.000479702,0.000479702,0.000479702
