epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,321.931,0.55896,0.45865,0.82222,0.006,0.848,0.74808,0.82846,0.68685,0.54568,0.44722,0.82865,0.00433,0.000220857,0.000220857,0.000220857
38,330.478,0.55385,0.4557,0.81848,0.00581,0.87168,0.77514,0.84244,0.70466,0.51499,0.43065,0.82404,0.00455,0.000205631,0.000205631,0.000205631
39,339.071,0.55952,0.4541,0.82208,0.00618,0.86433,0.813,0.86536,0.72973,0.49814,0.40949,0.8241,0.00395,0.000190404,0.000190404,0.000190404
40,347.67,0.55324,0.44512,0.82069,0.00598,0.87294,0.79448,0.86024,0.72614,0.49794,0.4182,0.82252,0.00406,0.000175178,0.000175178,0.000175178
41,357.884,0.52021,0.42642,0.8337,0.00514,0.8096,0.79005,0.84359,0.70498,0.52095,0.43372,0.82424,0.00424,0.000159952,0.000159952,0.000159952
42,366.093,0.51656,0.40726,0.82794,0.00531,0.86199,0.79588,0.85584,0.72036,0.51436,0.41486,0.82278,0.00432,0.000144726,0.000144726,0.000144726
43,374.332,0.50014,0.40061,0.83004,0.00474,0.85132,0.81046,0.8576,0.72554,0.50586,0.41391,0.82358,0.00425,0.0001295,0.0001295,0.0001295
44,382.543,0.50225,0.39497,0.83064,0.0047,0.87806,0.76582,0.83654,0.69601,0.53519,0.4352,0.82764,0.00434,0.000114273,0.000114273,0.000114273
45,390.735,0.49971,0.39164,0.83001,0.00467,0.8774,0.77242,0.85384,0.72048,0.5209,0.4172,0.82493,0.00423,9.90472e-05,9.90472e-05,9.90472e-05
46,398.925,0.49568,0.38863,0.82488,0.00476,0.8665,0.78659,0.85633,0.71942,0.51766,0.41571,0.82435,0.00435,8.3821e-05,8.3821e-05,8.3821e-05
47,407.095,0.49281,0.38858,0.82612,0.00463,0.87048,0.7985,0.8524,0.71461,0.52376,0.42029,0.82418,0.00407,6.85948e-05,6.85948e-05,6.85948e-05
48,415.286,0.4844,0.37555,0.82799,0.00443,0.87347,0.8191,0.87265,0.73488,0.49317,0.3943,0.82016,0.00424,5.33686e-05,5.33686e-05,5.33686e-05
49,423.514,0.49708,0.38417,0.82898,0.00487,0.88576,0.80124,0.86275,0.72975,0.50856,0.40598,0.82273,0.00416,3.81424e-05,3.81424e-05,3.81424e-05
50,431.746,0.48691,0.38269,0.82805,0.00465,0.88316,0.80547,0.86477,0.73386,0.50312,0.4077,0.82211,0.00412,2.29162e-05,2.29162e-05,2.29162e-05
