epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3885,1.36396,3.67782,1.5215,0.07812,0.49265,0.07372,0.05312,0.03678,1.00205,2.29465,1.12187,0.01976,0.00024608,0.00024608,0.00024608
2,16.9619,0.94863,1.44991,0.98748,0.01914,0.56181,0.16112,0.15396,0.11975,0.82847,1.21804,0.94256,0.015,0.000489953,0.000489953,0.000489953
3,23.4768,0.85242,1.07232,0.91862,0.01543,0.80497,0.17584,0.20129,0.15443,0.79912,1.08466,0.91073,0.01349,0.000723777,0.000723777,0.000723777
4,29.9903,0.78493,0.91182,0.8921,0.01401,0.44324,0.29542,0.24694,0.19129,0.72821,1.0089,0.88099,0.01121,0.000723321,0.000723321,0.000723321
5,36.5057,0.75754,0.83481,0.87124,0.01353,0.37866,0.40271,0.32847,0.25752,0.69144,0.83483,0.86834,0.01181,0.000708095,0.000708095,0.000708095
6,42.9987,0.74498,0.78023,0.87004,0.0123,0.48097,0.41977,0.38,0.30371,0.69432,0.77505,0.86666,0.01045,0.000692869,0.000692869,0.000692869
7,49.4159,0.72268,0.73034,0.86356,0.0109,0.52635,0.46705,0.45943,0.36567,0.65814,0.70059,0.86365,0.00865,0.000677643,0.000677643,0.000677643
8,55.892,0.71542,0.70935,0.86101,0.01121,0.53388,0.51222,0.50203,0.39138,0.66568,0.6705,0.86618,0.00796,0.000662417,0.000662417,0.000662417
9,62.3877,0.69016,0.68409,0.85532,0.01067,0.46141,0.59126,0.50619,0.40088,0.64163,0.68048,0.86234,0.00707,0.00064719,0.00064719,0.00064719
10,68.9002,0.67501,0.66253,0.85149,0.01062,0.55213,0.53296,0.52502,0.41911,0.6606,0.6706,0.86389,0.00788,0.000631964,0.000631964,0.000631964
11,75.4478,0.682,0.6561,0.84582,0.01025,0.51456,0.59053,0.53308,0.41401,0.656,0.66039,0.8613,0.00782,0.000616738,0.000616738,0.000616738
12,82.0075,0.65976,0.61963,0.84922,0.01005,0.6748,0.53485,0.54611,0.43252,0.62641,0.65252,0.85039,0.00837,0.000601512,0.000601512,0.000601512
13,88.4896,0.67853,0.62591,0.84302,0.00967,0.72706,0.55342,0.56767,0.45289,0.61742,0.60665,0.85252,0.00713,0.000586286,0.000586286,0.000586286
14,95.0129,0.66128,0.61403,0.84807,0.0096,0.69689,0.59279,0.57538,0.45463,0.61647,0.60528,0.84482,0.00721,0.000571059,0.000571059,0.000571059
15,101.477,0.65045,0.6067,0.84071,0.00894,0.61466,0.54262,0.54998,0.43042,0.6155,0.64614,0.84858,0.00737,0.000555833,0.000555833,0.000555833
16,107.984,0.65045,0.59662,0.84394,0.00881,0.64418,0.58191,0.58208,0.45797,0.60324,0.61069,0.84617,0.00703,0.000540607,0.000540607,0.000540607
17,114.472,0.6398,0.59355,0.84318,0.0083,0.6666,0.57708,0.57775,0.46172,0.60444,0.61434,0.8439,0.00731,0.000525381,0.000525381,0.000525381
18,121.009,0.63901,0.58012,0.84081,0.00788,0.67723,0.59551,0.60081,0.48156,0.60342,0.58332,0.8449,0.00624,0.000510155,0.000510155,0.000510155
19,127.573,0.62177,0.56138,0.84266,0.0079,0.6692,0.57887,0.6058,0.48483,0.60024,0.60378,0.84464,0.00632,0.000494928,0.000494928,0.000494928
20,134.108,0.63144,0.57443,0.84522,0.00791,0.63736,0.57242,0.57991,0.45779,0.61063,0.6178,0.84676,0.00628,0.000479702,0.000479702,0.000479702
21,140.599,0.62815,0.56223,0.8368,0.00807,0.72431,0.5735,0.61766,0.49057,0.64289,0.59206,0.85434,0.00579,0.000464476,0.000464476,0.000464476
22,147.145,0.61899,0.5528,0.84208,0.0077,0.72209,0.59185,0.63225,0.50471,0.60665,0.57783,0.84796,0.00615,0.00044925,0.00044925,0.00044925
23,153.583,0.61225,0.54902,0.83726,0.00775,0.72048,0.61031,0.63915,0.51825,0.57721,0.5631,0.84263,0.00558,0.000434024,0.000434024,0.000434024
