dataset_size,available_images,train_images,val_images,test_images,parameters,model_size_mb,total_train_seconds,test_mAP50,test_mAP50-95,test_precision,test_recall,latency_ms_per_image_cpu,fps_cpu,benchmark_threads
1000,1000,700,150,150,2655478,5.520693778991699,242.49062908799988,0.6621650203435608,0.5482785794222735,0.7742007385256398,0.6424839553133649,30.991605000023508,32.26680257441463,4
1500,1500,1050,225,225,2655478,5.354128837585449,339.70615495199945,0.8167044621148013,0.6768675137760447,0.8351625086157215,0.7058182620796503,32.1097337999466,31.143204307774827,4
2000,2000,1400,300,300,2655478,5.441409111022949,443.9319536310004,0.8129214658521128,0.6873205368603409,0.8615927528965838,0.7219285358422325,32.98464843334538,30.317133803041045,4
2500,2500,1748,376,376,2655478,5.536562919616699,547.0308740290002,0.9140441564130009,0.7847292379348544,0.9053471510917086,0.8517095758072135,32.88893460003237,30.405363146029536,4
3000,3000,2098,450,452,2655478,5.362063407897949,652.2698827619997,0.8848345189849517,0.7546101895756596,0.8539630271366576,0.8332873295613873,33.10234389982725,30.209341158020496,4
