epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0934,1.50292,4.75846,1.56719,0.10741,0.2886,0.02321,0.01657,0.0094,0.98576,4.13903,1.32386,0.01526,0.00016149,0.00016149,0.00016149
2,18.5639,1.03295,3.30967,1.03308,0.02471,0.23209,0.09226,0.0834,0.05606,0.9848,2.26403,1.02678,0.02036,0.000324123,0.000324123,0.000324123
3,22.9637,0.93533,1.68781,0.93477,0.01908,0.55396,0.11317,0.12691,0.09298,0.8531,1.22904,0.95757,0.01848,0.000480056,0.000480056,0.000480056
4,27.272,0.86652,1.20594,0.92166,0.01637,0.61805,0.1357,0.13356,0.10294,0.78245,1.00911,0.92475,0.01689,0.00062929,0.00062929,0.00062929
5,31.6741,0.85191,1.06644,0.91052,0.01496,0.8919,0.1594,0.17054,0.13329,0.73492,0.96087,0.89197,0.01628,0.000708095,0.000708095,0.000708095
6,36.0449,0.78772,0.92764,0.89532,0.0143,0.48267,0.24716,0.24785,0.19198,0.79224,0.88506,0.89463,0.01516,0.000692869,0.000692869,0.000692869
7,40.4705,0.77642,0.88748,0.87448,0.01294,0.47793,0.40442,0.25559,0.20304,0.73753,0.8737,0.87838,0.01354,0.000677643,0.000677643,0.000677643
8,44.8722,0.76078,0.83527,0.87177,0.013,0.51496,0.40914,0.36951,0.27724,0.77654,0.75864,0.88755,0.01252,0.000662417,0.000662417,0.000662417
9,49.2394,0.72164,0.7776,0.87652,0.01154,0.5171,0.50052,0.41631,0.32947,0.66495,0.69794,0.86467,0.01116,0.00064719,0.00064719,0.00064719
10,53.6452,0.7349,0.7732,0.86653,0.01159,0.43179,0.47387,0.39463,0.30729,0.66824,0.73629,0.86325,0.01086,0.000631964,0.000631964,0.000631964
11,58.0139,0.70311,0.7363,0.86282,0.0106,0.51562,0.51532,0.43544,0.33678,0.65722,0.65334,0.86188,0.0105,0.000616738,0.000616738,0.000616738
12,62.3977,0.69095,0.70045,0.85925,0.01118,0.51845,0.50769,0.46464,0.36041,0.67942,0.65742,0.86313,0.01101,0.000601512,0.000601512,0.000601512
13,66.7988,0.69156,0.69299,0.85803,0.01018,0.56727,0.51791,0.51078,0.40499,0.62368,0.60753,0.85088,0.00996,0.000586286,0.000586286,0.000586286
14,71.2122,0.68782,0.68193,0.8607,0.00952,0.5851,0.54034,0.52735,0.41113,0.64528,0.60851,0.85916,0.00952,0.000571059,0.000571059,0.000571059
15,75.6166,0.69224,0.68075,0.85766,0.01006,0.57252,0.55689,0.51767,0.40819,0.65633,0.61601,0.85758,0.00977,0.000555833,0.000555833,0.000555833
16,79.975,0.66664,0.64269,0.85387,0.00927,0.5539,0.58669,0.54011,0.42561,0.62056,0.58015,0.85214,0.00896,0.000540607,0.000540607,0.000540607
17,84.3698,0.68021,0.65081,0.84662,0.00954,0.54084,0.57866,0.52112,0.40446,0.64932,0.59718,0.86072,0.00844,0.000525381,0.000525381,0.000525381
18,88.7374,0.65945,0.63329,0.84955,0.00922,0.5086,0.58164,0.49724,0.38712,0.62706,0.60799,0.84908,0.00896,0.000510155,0.000510155,0.000510155
19,93.0506,0.68272,0.64216,0.84496,0.00931,0.62451,0.57391,0.54947,0.43137,0.6191,0.57377,0.84503,0.00898,0.000494928,0.000494928,0.000494928
20,97.4831,0.66128,0.62886,0.84016,0.00994,0.57666,0.55482,0.56178,0.4401,0.61429,0.58174,0.84669,0.00858,0.000479702,0.000479702,0.000479702
21,101.867,0.65991,0.62283,0.84398,0.00929,0.65259,0.59052,0.60609,0.48566,0.60937,0.55527,0.84398,0.0075,0.000464476,0.000464476,0.000464476
22,106.277,0.68281,0.6281,0.85408,0.00883,0.63388,0.60641,0.61189,0.4923,0.5927,0.55166,0.84425,0.00776,0.00044925,0.00044925,0.00044925
23,110.635,0.64444,0.60909,0.84462,0.00878,0.60623,0.60868,0.6159,0.49064,0.6056,0.5657,0.84816,0.00781,0.000434024,0.000434024,0.000434024
24,115.028,0.64348,0.5996,0.83982,0.00883,0.647,0.57251,0.62457,0.48383,0.61972,0.55156,0.84912,0.0075,0.000418797,0.000418797,0.000418797
25,119.393,0.63831,0.59167,0.84355,0.00874,0.75596,0.55947,0.63427,0.50202,0.59873,0.5555,0.84483,0.0075,0.000403571,0.000403571,0.000403571
26,123.821,0.63983,0.59047,0.83907,0.00865,0.70657,0.5774,0.64434,0.50844,0.59268,0.53457,0.84556,0.00762,0.000388345,0.000388345,0.000388345
27,128.385,0.63034,0.57062,0.84482,0.00782,0.67245,0.63088,0.662,0.51976,0.59997,0.52988,0.84512,0.00706,0.000373119,0.000373119,0.000373119
28,132.772,0.61507,0.56291,0.84183,0.00782,0.74774,0.6021,0.63918,0.50632,0.60087,0.52584,0.84333,0.00759,0.000357893,0.000357893,0.000357893
29,137.091,0.62646,0.5638,0.84007,0.00756,0.68844,0.59165,0.63331,0.50193,0.60088,0.53368,0.84292,0.00661,0.000342666,0.000342666,0.000342666
30,141.436,0.62229,0.55866,0.84225,0.00814,0.6403,0.64452,0.65732,0.52363,0.57675,0.52129,0.8371,0.0072,0.00032744,0.00032744,0.00032744
31,145.814,0.62731,0.55259,0.83278,0.00808,0.72514,0.62116,0.67184,0.53949,0.57377,0.51165,0.83815,0.00708,0.000312214,0.000312214,0.000312214
32,150.228,0.62829,0.55277,0.83512,0.0084,0.79861,0.59758,0.6688,0.53389,0.57927,0.5162,0.83814,0.00663,0.000296988,0.000296988,0.000296988
33,154.542,0.61966,0.55238,0.83679,0.00775,0.70362,0.64888,0.65245,0.52523,0.58955,0.5131,0.84069,0.0067,0.000281762,0.000281762,0.000281762
34,158.879,0.61237,0.54944,0.83821,0.00802,0.73116,0.64114,0.66092,0.53313,0.56812,0.50616,0.83865,0.00639,0.000266535,0.000266535,0.000266535
35,163.253,0.62078,0.55283,0.84135,0.00792,0.72402,0.62181,0.66859,0.54483,0.57353,0.51088,0.8379,0.00639,0.000251309,0.000251309,0.000251309
36,167.712,0.60899,0.5325,0.83441,0.00767,0.82273,0.60224,0.67218,0.53641,0.5701,0.50065,0.83733,0.00595,0.000236083,0.000236083,0.000236083
37,172.123,0.61358,0.53232,0.83369,0.0082,0.69457,0.6492,0.66851,0.53301,0.57952,0.51382,0.83838,0.00631,0.000220857,0.000220857,0.000220857
38,176.462,0.60889,0.53114,0.83796,0.00769,0.70982,0.63123,0.66673,0.54129,0.57131,0.50155,0.83687,0.00636,0.000205631,0.000205631,0.000205631
39,180.877,0.60731,0.53092,0.83658,0.0077,0.7836,0.60462,0.67639,0.54828,0.56733,0.49747,0.83664,0.00657,0.000190404,0.000190404,0.000190404
40,185.268,0.59987,0.52154,0.83564,0.00736,0.72225,0.60906,0.67391,0.54264,0.57586,0.50103,0.83928,0.00651,0.000175178,0.000175178,0.000175178
41,191.068,0.564,0.50186,0.8439,0.00661,0.8296,0.62725,0.70146,0.5633,0.57699,0.49994,0.83997,0.00616,0.000159952,0.000159952,0.000159952
42,195.335,0.55741,0.48046,0.84555,0.00634,0.74553,0.62386,0.67724,0.54787,0.58292,0.51655,0.84017,0.00606,0.000144726,0.000144726,0.000144726
43,199.526,0.5519,0.49029,0.83994,0.00587,0.75335,0.63906,0.69227,0.5515,0.58726,0.50141,0.84232,0.006,0.0001295,0.0001295,0.0001295
